,Move 1,Move 2
0,1.0,0.9947368421052631
1,0.9894736842105263,0.9947368421052631
2,1.0,0.9947368421052631
3,0.9894736842105263,0.9947368421052631
4,0.9947368421052631,0.9842105263157894
5,1.0,0.9947368421052631
6,1.0,0.9947368421052631
7,0.9947368421052631,1.0
8,1.0,0.9947368421052631
9,0.9947368421052631,0.9894736842105263
10,0.9947368421052631,0.9842105263157894
11,0.9947368421052631,0.9947368421052631
12,1.0,1.0
13,1.0,0.9789473684210527
14,1.0,0.9947368421052631
15,1.0,0.9947368421052631
16,0.9789473684210527,0.9947368421052631
17,1.0,0.9736842105263158
18,0.9947368421052631,1.0
19,0.9947368421052631,0.9789473684210527
